radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,is_simulated_5g
LTE,286,1,8208,26380,0,32.8279,39.9279,3940,23,1,1471624236,1769089384,True
LTE,286,1,8208,26381,-1,32.8283,39.927,1000,6,1,1768864984,1769089384,True
LTE,286,1,8208,26384,-1,32.8283,39.927,1000,2,1,1768996823,1769089384,True
LTE,286,1,8208,26385,-1,32.8283,39.927,1000,6,1,1768865514,1769089384,True
LTE,286,1,8208,26390,0,32.8272,39.9267,1000,8,1,1494147927,1769089384,True
LTE,286,1,8208,26394,-1,32.8281,39.927,1000,1,1,1769001484,1769001484,True
LTE,286,1,8208,26395,-1,32.8283,39.927,1000,2,1,1768996853,1769089384,True
LTE,286,1,8208,26402,0,32.8238,39.9303,4285,15,1,1492540200,1769089384,True
LTE,286,1,8480,27429,-1,32.7082,39.7843,1000,12,1,1753851508,1753885930,True
LTE,286,1,8482,31767,-1,32.8731,39.8792,1000,9,1,1763952418,1763973181,True
LTE,286,1,8482,31771,-1,32.8731,39.8774,1000,10,1,1763952374,1763973181,True
LTE,286,1,8482,35084,0,32.8477,39.9113,9116,13,1,1473588357,1748185507,True
LTE,286,1,8482,35104,0,32.8585,39.9081,1000,15,1,1471854208,1748185507,True
LTE,286,1,8483,35877,-1,32.8488,39.924,1000,2,1,1762946937,1762956130,True
LTE,286,1,8208,204822,-1,32.8358,39.9205,1000,8,1,1768869192,1769089384,True
LTE,286,1,8208,215830,0,32.8158,39.922,1746,16,1,1477181371,1748185507,True
LTE,286,1,8208,215840,0,32.8165,39.925,2288,23,1,1477012706,1748185507,True
LTE,286,1,8208,215845,-1,32.8082,39.9102,1000,1,1,1768876313,1768876313,True
LTE,286,1,8208,215854,-1,32.8083,39.9102,1000,3,1,1768871302,1769089384,True
LTE,286,1,8482,313100,0,32.8677,39.9054,2851,24,1,1481773229,1748185507,True
LTE,286,1,8482,313110,0,32.8639,39.9062,1000,11,1,1476336316,1748185507,True
LTE,286,1,8483,322828,-1,32.8523,39.9135,1000,11,1,1628807642,1763973181,True
LTE,286,1,8483,322848,-1,32.847,39.9146,1000,13,1,1747825846,1763973181,True
LTE,286,1,8483,322850,-1,32.8483,39.9144,1000,6,1,1628807681,1763973181,True
LTE,286,1,8208,436238,-1,32.8096,39.9273,1000,11,1,1762945836,1762956130,True
LTE,286,1,8208,561696,-1,32.8138,39.8974,1000,5,1,1747825265,1748185507,True
LTE,286,1,8208,572447,-1,32.8083,39.9104,1000,1,1,1768871252,1768871252,True
LTE,286,1,8483,582432,0,32.8585,39.9057,4612,17,1,1461295465,1748185507,True
LTE,286,1,8481,720667,-1,32.6456,39.8193,1426,24,1,1628920540,1753885930,True
LTE,286,1,8481,720677,-1,32.6441,39.8382,1000,17,1,1628920460,1753885931,True
LTE,286,1,8209,748049,-1,32.8473,39.9263,1000,3,1,1762946716,1762956130,True
LTE,286,1,8209,748059,-1,32.8463,39.9279,1000,2,1,1762946706,1762956130,True
LTE,286,1,8483,749580,0,32.8587,39.9158,9130,22,1,1484511951,1763973181,True
LTE,286,1,8483,749590,0,32.8332,39.9163,3513,15,1,1493912558,1769089384,True
LTE,286,1,8483,749595,-1,32.8338,39.9164,1000,4,1,1768957839,1769089382,True
LTE,286,1,8209,781605,-1,32.8377,39.9348,1000,4,1,1762946586,1762956130,True
LTE,286,1,8208,786956,0,32.8163,39.9133,3947,32,1,1471129611,1748185507,True
LTE,286,1,8208,786957,-1,32.8192,39.9157,1478,3,1,1769045312,1769089384,True
LTE,286,1,8208,786961,-1,32.8147,39.9105,1000,10,1,1659307080,1769089382,True
LTE,286,1,8208,786966,0,32.8169,39.9102,7254,21,1,1471129611,1748185507,True
LTE,286,1,8208,786976,0,32.8125,39.9102,1000,10,1,1471484731,1769089383,True
LTE,286,1,8208,786977,-1,32.8088,39.9101,1000,6,1,1768984692,1769089383,True
LTE,286,1,8208,786978,-1,32.8132,39.9098,1000,10,1,1661903035,1769089384,True
LTE,286,1,8480,790540,-1,32.5812,39.8318,742,34,1,1628808442,1753885931,True
LTE,286,1,8480,790541,-1,32.581,39.8317,1678,27,1,1628808482,1753885931,True
LTE,286,1,8480,790545,-1,32.5763,39.8269,1000,23,1,1628920180,1753885931,True
LTE,286,1,8480,790561,-1,32.5587,39.8135,1406,26,1,1753852245,1753885931,True
LTE,286,1,8480,793612,0,32.7643,39.8237,1461,4,1,1489925837,1748185506,True
LTE,286,1,8480,793617,-1,32.7578,39.8144,1000,5,1,1747824425,1748185506,True
LTE,286,1,8480,793622,0,32.7363,39.8204,2293,10,1,1489426292,1748185506,True
LTE,286,1,8480,793627,-1,32.7387,39.7757,6877,24,1,1747824365,1753885930,True
LTE,286,1,8478,955916,0,32.8684,39.8756,1000,15,1,1473487643,1763973181,True
LTE,286,1,8478,955936,0,32.8609,39.8803,5376,26,1,1471316642,1763973181,True
LTE,286,1,8196,1013807,-1,32.8513,39.9862,1000,1,1,1759706263,1759706263,True
LTE,286,1,8208,1106188,-1,32.8327,39.9173,1138,10,1,1747825795,1769089384,True
LTE,286,1,8208,1106208,-1,32.8301,39.9167,1153,15,1,1747825765,1769089384,True
LTE,286,1,8208,1106209,-1,32.8284,39.927,1000,1,1,1769045132,1769045132,True
LTE,286,1,8208,1106213,-1,32.8292,39.9159,1000,2,1,1768869402,1768933563,True
LTE,286,1,8478,1142294,-1,32.8101,39.8495,725,47,1,1661902678,1748185506,True
LTE,286,1,8192,1183760,-1,32.7743,39.97,1000,1,1,1775560391,1775560391,True
LTE,286,1,8483,1221389,-1,32.8481,39.9249,1000,1,1,1762946837,1762946837,True
LTE,286,1,8483,1221409,-1,32.8478,39.9254,1000,2,1,1762946782,1762956130,True
LTE,286,1,8483,1221413,-1,32.8483,39.9246,1000,1,1,1762946892,1762946892,True
LTE,286,1,8212,1480721,-1,32.5726,39.9529,1000,1,1,1779882497,1779882497,True
LTE,286,1,8212,1480726,-1,32.5716,39.9529,1000,9,1,1779882442,1780056364,True
LTE,286,1,8212,1480731,-1,32.5711,39.9534,1000,1,1,1779919948,1779919948,True
LTE,286,1,8212,1480736,-1,32.5716,39.9536,1000,11,1,1779882412,1780056364,True
LTE,286,1,8212,1480740,-1,32.5714,39.9535,1000,6,1,1779890103,1780056364,True
LTE,286,1,8212,1480741,-1,32.5712,39.9536,1000,17,1,1779886284,1780056364,True
LTE,286,1,8481,1700385,-1,32.6342,39.8664,1000,5,1,1753851960,1753885931,True
LTE,286,1,8208,2368022,-1,32.8085,39.9104,1000,10,1,1768876383,1769089384,True
LTE,286,1,8208,2368023,-1,32.8085,39.9104,1000,4,1,1768871152,1769089384,True
LTE,286,1,8208,2368024,-1,32.8088,39.9105,1000,2,1,1768968990,1769089384,True
LTE,286,1,8480,2372394,-1,32.7339,39.7522,1000,11,1,1747824185,1748185505,True
LTE,286,1,8478,2372906,-1,32.8111,39.872,1000,3,1,1747825135,1748185506,True
LTE,286,1,8480,2437137,-1,32.6658,39.7843,1465,49,1,1628920660,1753885930,True
LTE,286,1,8480,2437147,-1,32.6529,39.7974,1400,33,1,1628920640,1753885930,True
LTE,286,1,8208,2523148,-1,32.8305,39.9262,1000,2,1,1763951463,1769089384,True
LTE,286,1,8208,2523149,-1,32.8331,39.9243,1000,8,1,1763951433,1768933563,True
LTE,286,1,8208,2523158,-1,32.8326,39.924,1000,4,1,1768957739,1769089384,True
LTE,286,1,8208,2523163,-1,32.8314,39.9257,1000,4,1,1763950510,1769089384,True
LTE,286,1,8208,2523168,-1,32.8304,39.9249,1000,7,1,1768904196,1769089383,True
LTE,286,1,8208,2523173,-1,32.8326,39.9253,1000,2,1,1763951089,1763973181,True
LTE,286,1,8482,2526741,-1,32.8689,39.8826,1000,1,1,1753259160,1753259160,True
LTE,286,1,8482,2526742,-1,32.8684,39.8829,1000,4,1,1763240638,1763973181,True
LTE,286,1,8482,2526743,-1,32.8687,39.8826,1000,1,1,1763953328,1763953328,True
